Fungi,Function,Plant,Module,Connection,RootSample
OTU97_1171,EcM,Lophatherum_gracile,1,1,7
OTU97_1299,Unknown,Lophatherum_gracile,1,1,7
OTU97_1243,EcM,Lophatherum_gracile,1,1,7
OTU97_1379,Unknown,Lophatherum_gracile,1,1,7
OTU97_1395,Unknown,Lophatherum_gracile,1,1,7
OTU97_695,Unknown,Lophatherum_gracile,1,1,7
OTU97_1151,EcM,Lophatherum_gracile,1,2,7
OTU97_2159,EcM,Lophatherum_gracile,1,1,7
OTU97_93,Unknown,Lophatherum_gracile,1,2,7
OTU97_783,EcM,Lophatherum_gracile,1,1,7
OTU97_1177,EcM,Lophatherum_gracile,1,1,7
OTU97_2115,Unknown,Lophatherum_gracile,1,1,7
OTU97_1,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1031,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1145,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1159,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1201,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1321,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1331,EcM,Lyonia_ovalifolia,2,1,65
OTU97_1335,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1381,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1423,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1453,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_155,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1601,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1707,EcM,Lyonia_ovalifolia,2,1,65
OTU97_1831,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1871,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1939,EcM,Lyonia_ovalifolia,2,1,65
OTU97_1969,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1997,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_201,EcM,Lyonia_ovalifolia,2,1,65
OTU97_2045,EcM,Lyonia_ovalifolia,2,1,65
OTU97_2083,EcM,Lyonia_ovalifolia,2,1,65
OTU97_2399,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_43,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_583,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_663,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_675,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1675,EcM,Lyonia_ovalifolia,2,2,65
OTU97_1805,Unknown,Lyonia_ovalifolia,2,2,65
OTU97_217,EcM,Lyonia_ovalifolia,2,1,65
OTU97_2195,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_2381,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_355,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_681,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1333,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1351,EcM,Lyonia_ovalifolia,2,1,65
OTU97_1591,EcM,Lyonia_ovalifolia,2,1,65
OTU97_449,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_487,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_793,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_945,Unknown,Lyonia_ovalifolia,2,2,65
OTU97_1355,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1413,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1415,Unknown,Lyonia_ovalifolia,2,4,65
OTU97_223,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_489,Unknown,Lyonia_ovalifolia,2,4,65
OTU97_49,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_705,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1241,EcM,Lyonia_ovalifolia,2,1,65
OTU97_1259,Unknown,Lyonia_ovalifolia,2,2,65
OTU97_1287,EcM,Lyonia_ovalifolia,2,1,65
OTU97_1429,EcM,Lyonia_ovalifolia,2,2,65
OTU97_483,EcM,Lyonia_ovalifolia,2,1,65
OTU97_501,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_605,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_425,EcM,Lyonia_ovalifolia,2,1,65
OTU97_71,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_777,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_853,Unknown,Lyonia_ovalifolia,2,2,65
OTU97_1369,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_767,EcM,Lyonia_ovalifolia,2,1,65
OTU97_337,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1379,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1385,EcM,Lyonia_ovalifolia,2,2,65
OTU97_1783,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_1267,EcM,Lyonia_ovalifolia,2,3,65
OTU97_2137,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1229,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1253,Unknown,Lyonia_ovalifolia,2,4,65
OTU97_539,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1223,EcM,Lyonia_ovalifolia,2,1,65
OTU97_1303,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1151,EcM,Lyonia_ovalifolia,2,3,65
OTU97_1265,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_937,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_761,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_1915,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_2181,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_517,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_747,Unknown,Lyonia_ovalifolia,2,13,65
OTU97_481,Unknown,Lyonia_ovalifolia,2,9,65
OTU97_93,Unknown,Lyonia_ovalifolia,2,5,65
OTU97_1117,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_27,Unknown,Lyonia_ovalifolia,2,1,65
OTU97_783,EcM,Lyonia_ovalifolia,2,6,65
OTU97_1207,Unknown,Lyonia_ovalifolia,2,3,65
OTU97_503,EcM,Lyonia_ovalifolia,2,1,65
OTU97_939,EcM,Lyonia_ovalifolia,2,5,65
OTU97_1389,Unknown,Lyonia_ovalifolia,2,19,65
